original,generated
Q.バッジについてどう思う？ A.,Q.バッジについてどう思う？ A.俺も欲しい俺も欲しいからそのバッジかけてなんかやりてえよな
Q.一気についてどう思う？ A.,Q.一気についてどう思う？ A.初めてだよ、俺一気にクリアしてやるようできないの。
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.絶対言うと思ったお前のために言ったんだよ
Q.時代についてどう思う？ A.,Q.時代についてどう思う？ A.そういう時代なのもう俺たちって。
Q.野木坂についてどう思う？ A.,Q.野木坂についてどう思う？ A.そのお前の文から察するにお前も役割なの野木坂か何かと付き合ってたよね
Q.音ヒロイキについてどう思う？ A.,Q.音ヒロイキについてどう思う？ A.なに今の音ヒロイキが公式呼んだと思う?
Q.距離についてどう思う？ A.,Q.距離についてどう思う？ A.すごいよあそこでなんぼ出すの遠距離撃ってたのかな
Q.手柄についてどう思う？ A.,Q.手柄についてどう思う？ A.こいつ俺の手柄をこいつの手柄にしてる一番トップページに貼ってるねえウジ虫が加藤純一
Q.幸せについてどう思う？ A.,Q.幸せについてどう思う？ A.俺たぶん人類の中でもまじすげえ幸せなほうだと思うわ。
Q.馬鹿についてどう思う？ A.,Q.馬鹿についてどう思う？ A.めちゃくちゃいい証拠だその方がいいわなんかさ馬鹿どもはさすげぇいい奴なんじゃねぇかとかさ
Q.体力ワンランクについてどう思う？ A.,Q.体力ワンランクについてどう思う？ A.普通に37ぐらいから目は衰えるし体力ワンランク落ちるしあと3年経ったらお前非保険者になるんだぞ俺だけじゃなくててめえらもなるんだ
Q.顔についてどう思う？ A.,Q.顔についてどう思う？ A.多分昔から変わらないその辺の自分を超える存在が現れる才能はみんなのほうがぶっちゃけあるのねでもやっぱ若くて顔がかっこいいとかさいっぱいいるじゃん
Q.デコピンについてどう思う？ A.,Q.デコピンについてどう思う？ A.デコピンで殺されるぞパーンクルルルルルルそういうアニメあったよなパーンクルルルルルルルドンいやでも学生にも活かしてやれよ
Q.先行についてどう思う？ A.,Q.先行についてどう思う？ A.ただ眠たくなってきちゃったが先行しちゃうだけ俺はそんなみんなの温かいコメントよりも僕は眠さがかっちゃうんだよね
Q.女についてどう思う？ A.,Q.女についてどう思う？ A.スメるマジでスメると思ったタイだったら全部美味しかったな安いし女可愛いしタイ
Q.中山記念についてどう思う？ A.,Q.中山記念についてどう思う？ A.しかも中山記念ってちょっと前までさG1だったよな
Q.寝坊についてどう思う？ A.,Q.寝坊についてどう思う？ A.もうそのさっきのツイートにウジ虫が湧いてるぞなんでだよ的いてるじゃないかしっかりわ寝坊すどり
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.もうリバウンドしないようにする絶対俺やだ、こんな思いしたくないてかすっげー
Q.テルマユについてどう思う？ A.,Q.テルマユについてどう思う？ A.あのねえ新宿のねえテルマユ行ってきたって言うわ。
Q.食べ物についてどう思う？ A.,Q.食べ物についてどう思う？ A.結局なんで太るかってマジ食べ物だ と思う
Q.日焼けサロンについてどう思う？ A.,Q.日焼けサロンについてどう思う？ A.お姉ちゃんもめちゃくちゃ派手だった兄弟揃って日焼けサロン行ってたからお姉ちゃんがまずギャルになってそれに影響されて俺がギャル王になるみたいなあいつがいけるんだ
Q.ゲーム人類についてどう思う？ A.,Q.ゲーム人類についてどう思う？ A.あの伝説のゲーム人類で2人しかやってないあれがミャコさんやってるよね
Q.18についてどう思う？ A.,Q.18についてどう思う？ A.あいつが18でいきなり肌焼き始めたのね
Q.今についてどう思う？ A.,Q.今についてどう思う？ A.もうデビューの今のうちにさYouTubeのチャンネル作っとこうぜ。
Q.気についてどう思う？ A.,Q.気についてどう思う？ A.声小っちゃいマイクが遠いな待ってなじゃああ気になる?
Q.27についてどう思う？ A.,Q.27についてどう思う？ A.でも俺27歳からお母さんの家賃も払ってたよ。
Q.阿波水産高校についてどう思う？ A.,Q.阿波水産高校についてどう思う？ A.俺の地元で阿波水産高校をマリファナ吸って大学になったやつが千葉未来高校行ってサーフィン部の部長やってたよ
Q.玉袋についてどう思う？ A.,Q.玉袋についてどう思う？ A.1つは玉袋なんかそういうのくれなちゃんとかっこいいセリフさよなら
Q.最短1ヶ月についてどう思う？ A.,Q.最短1ヶ月についてどう思う？ A.最短1ヶ月じゃないかな高校時代3人彼女いたけど全員1ヶ月で別れてたからそれ以降は俺長いよ3年付き合った女3人いるからね
Q.カオスソルジャーについてどう思う？ A.,Q.カオスソルジャーについてどう思う？ A.コレクションだよ多分世界に1枚しかないカオスソルジャー
Q.見づれについてどう思う？ A.,Q.見づれについてどう思う？ A.超見づれぇなんでカーが今流行ってんの?
Q.1万円についてどう思う？ A.,Q.1万円についてどう思う？ A.てめえなんかバカだけどこの金が欲しいんだろこの金が欲しくて働いてんだろお前ほら頭下げれば1万円ですよ
Q.中安全についてどう思う？ A.,Q.中安全についてどう思う？ A.このガスは強いぞは切ればもゴーモアルフォイいいいいいいいいいいいい 空中の殿下を感じる私たちはリングの中 安全よ
Q.最悪10についてどう思う？ A.,Q.最悪10についてどう思う？ A.最悪10でいいよ悪いし俺が我慢すればいいじゃん【コメント】
Q.関係についてどう思う？ A.,Q.関係についてどう思う？ A.リオン君もフォローしないリオン君とは何の関係性もねえだろ何の関係性もねえだろ
Q.共演についてどう思う？ A.,Q.共演についてどう思う？ A.この人と共演してフォローされましたちゃんと返さなきゃいけないじゃん
Q.5万についてどう思う？ A.,Q.5万についてどう思う？ A.そんな、5万ってとんでもねえかけだぞ。
Q.記録についてどう思う？ A.,Q.記録についてどう思う？ A.何の記録が、記録はクソどうでもいいわ。
Q.辺についてどう思う？ A.,Q.辺についてどう思う？ A.この辺にしてたわかんねえぞなにこれ汚えめっと最高かよ
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.ここに早くバロ消そここにね溝あるの配信でも自慢しないようにしようと全然全く考えてない俺が喋りたいことしか思ってない
Q.東海帝王についてどう思う？ A.,Q.東海帝王についてどう思う？ A.これ東海帝王かサイレンススズカだ緑色の服のやつだよな音ちっちゃいさすがに東海帝王東海帝王じゃねえや納得するかもしれないけど俺なかなか納得できねえぞ
Q.終わりについてどう思う？ A.,Q.終わりについてどう思う？ A.俺の目が黒いうちにお前のタタじゃおかねえぞこいつも存在してないから人さえ殺さなければこいつもマッシュとして終わりだからこれはいい…いい…
Q.敵についてどう思う？ A.,Q.敵についてどう思う？ A.倒さなくていい敵も倒してたよね
Q.エイペックスについてどう思う？ A.,Q.エイペックスについてどう思う？ A.ここにいたら選ばれた感あるだろエイペックスもやろ
Q.8キロについてどう思う？ A.,Q.8キロについてどう思う？ A.67、8キロらしいんだよでもちょっと細すぎるの俺嫌いだから72キロ70キロくらいにしたい70まで落とすなんでその宮城みたいな髪型なんだお前
Q.100についてどう思う？ A.,Q.100についてどう思う？ A.6割7割くらいで半年くらい継続していこうと思ってただ一個もジュースは飲まないもうそれだけ俺の中の100%はそれだけ絶対にやらんお前の標準体重
Q.カモンシーについてどう思う？ A.,Q.カモンシーについてどう思う？ A.シーワールドロケ地とカモンシーでも撮ってたね
Q.輸入禁止についてどう思う？ A.,Q.輸入禁止についてどう思う？ A.ラッコが輸入禁止になったから今のうちに見てたほうがいいワシントン条約がアダコーダみたいないやなんかさ
Q.ロールプレイかっこについてどう思う？ A.,Q.ロールプレイかっこについてどう思う？ A.悪くなくない何がキモいのホリヒューシー見てくれシャレてる勝った人生はロールプレイかっこいいめちゃかっこいいめちゃくちゃかっこいいこの人がこれ言っちゃったらもう終わりだよ
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.医者とかってどんなに金稼いでもそれを使って楽しむ時間がなそうだ
Q.26についてどう思う？ A.,Q.26についてどう思う？ A.18歳くらいの時に26歳くらいの女に飯食わせてもらってたもん。
Q.ニコについてどう思う？ A.,Q.ニコについてどう思う？ A.ニコ生もまたそうだなやってないんじゃないのニコニコ
Q.高山和美についてどう思う？ A.,Q.高山和美についてどう思う？ A.高山和美の写真紙持ってるからあげるよ。
Q.キャスについてどう思う？ A.,Q.キャスについてどう思う？ A.超えたらキャスするわもうあいつそんなことしなくてもいいじゃんまだやってんだよ
Q.シャムトラについてどう思う？ A.,Q.シャムトラについてどう思う？ A.これって雑種なのシャムトラって雑種逃げた猫じゃない工場に捨てられてた雑種だよね
Q.10年についてどう思う？ A.,Q.10年についてどう思う？ A.10年ぐらい俺のこと見てたらバロやってくれるだろ売ってんの2万時間分の俺一回押してみていい?
Q.髪型についてどう思う？ A.,Q.髪型についてどう思う？ A.いつの間にか金持って太ってちょっと最近痩せちゃったけど髪型も一緒でしょ
Q.人理由についてどう思う？ A.,Q.人理由についてどう思う？ A.25万ポイントかけた人理由はライオットのアカウントを作るのがめんどくさいからです
Q.一万再生についてどう思う？ A.,Q.一万再生についてどう思う？ A.新卒のサラリーマンぐらいは稼げるはずでも一万再生撮るのって結構きつくない?
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.だってもともと家庭の金じゃんその家庭の金を半分に分けただけだからかかんないよね
Q.顔についてどう思う？ A.,Q.顔についてどう思う？ A.異性っていうか他人と握手するときの顔ってそんなもんだよ
Q.玉城浩二についてどう思う？ A.,Q.玉城浩二についてどう思う？ A.玉城浩二のポルノのサウダージめちゃくちゃよかった。
Q.遠藤守についてどう思う？ A.,Q.遠藤守についてどう思う？ A.遠藤守のジジイが書いてたこのキャンパスノートなんだけど。
Q.竹恵美についてどう思う？ A.,Q.竹恵美についてどう思う？ A.竹恵美みたいな顔してただろ。
Q.コムドットヤマトヤマトについてどう思う？ A.,Q.コムドットヤマトヤマトについてどう思う？ A.可愛さの秘訣見たらいいじゃんコムドットのヤマトあいつネタじゃんコムドットヤマトヤマトってリーダー?
Q.離婚についてどう思う？ A.,Q.離婚についてどう思う？ A.そっちの方が離婚した方が幸せになれるから離婚してるのがいいんじゃないの。
Q.人造人間についてどう思う？ A.,Q.人造人間についてどう思う？ A.そうこれもうバーチャルYouTuberじゃないの人造人間なの人が作りし人だからホムンクルスって呼んでくれジャンルは人の金を犯したからなあとちょっと口元何
Q.前友達についてどう思う？ A.,Q.前友達についてどう思う？ A.この前友達にベロ真っ白だなって言われたぞ送ってきてお前の真っ白白なベロ見してよ
Q.人についてどう思う？ A.,Q.人についてどう思う？ A.この人持ってるこれファーストってなってんだよ
Q.国民についてどう思う？ A.,Q.国民についてどう思う？ A.国民の収益を減らしてみたいな。
Q.ノルマについてどう思う？ A.,Q.ノルマについてどう思う？ A.そんなもんだろやりたいときにやってればいいだろ俺ノルマとかねえんだ
Q.35についてどう思う？ A.,Q.35についてどう思う？ A.なんで別にそんなさ、35歳ぐらいの女の人とさ結婚してさ年のさ10歳ぐらいがちょうどいいんだから。
Q.サンブレイクについてどう思う？ A.,Q.サンブレイクについてどう思う？ A.お後がよろしいようで始まらないサンブレイク始まらないよ
Q.50倍についてどう思う？ A.,Q.50倍についてどう思う？ A.その50倍だクソ楽だろ2万時間見ればいいんだよ
Q.市議会議員についてどう思う？ A.,Q.市議会議員についてどう思う？ A.市議会議員になったとき全く配信してなかったよな
Q.理由についてどう思う？ A.,Q.理由についてどう思う？ A.そのキモいのふざけんじゃねえよ言い返せないのにさマルオブスだなとか言われて傷つけたくないから単純にそういう理由で出しただけで愛はすさまじく注いでるよ
Q.別についてどう思う？ A.,Q.別についてどう思う？ A.マンボウ中ぐらいだったら別にいいだろ。
Q.真空男についてどう思う？ A.,Q.真空男についてどう思う？ A.真空男って有名なXQCが言ったんだったらやめた方がいい早くね平和が訪れるといいなその後グランドセフトオートが人殺してたらしい悪魔じゃねえかよ
Q.よそうちについてどう思う？ A.,Q.よそうちについてどう思う？ A.よそはよそうちはうちだ言うだろうね
Q.やつについてどう思う？ A.,Q.やつについてどう思う？ A.まあでもいいじゃんなんかさ見てるやつも含めてさ
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.もうみんなもうすぐクリアするぞみたいな報告が今日のコメントで上がっててまあそんなもんだろうなと思う配信だったのにやばすぎ乃木坂
Q.連絡についてどう思う？ A.,Q.連絡についてどう思う？ A.特に別に退屈な式だと思うあっまっちゃんマジでね退職してるらしいね連絡取ってないけどうぜえから僕は薬の名前ってメチコバールなんかでもそんなさ薬効は?
Q.昔嵐についてどう思う？ A.,Q.昔嵐についてどう思う？ A.Twitchって別に嵐いないでしょなんかさ昔嵐っていうかさ
Q.正常についてどう思う？ A.,Q.正常についてどう思う？ A.俺正常だわお前ら終わってるわ俺あの人が一番いいなと思ったもんそしたら人間だったあれ?
Q.新宿5丁目についてどう思う？ A.,Q.新宿5丁目についてどう思う？ A.適当っていうかさ好きなようにやったほうが俺はいいと思う絶対毎日上げなきゃってなったらさ妥協が生まれない新宿5丁目、日新宿5丁目のカニ道楽
Q.身についてどう思う？ A.,Q.身についてどう思う？ A.登録者数450万人職業はカリスマです常識と品格は身につけておりません
Q.決定についてどう思う？ A.,Q.決定についてどう思う？ A.応募する全ての決定は敬語が俺にあるのね
Q.夏宮についてどう思う？ A.,Q.夏宮についてどう思う？ A.この人は一生奴隷だろうないないでの時言ってた夏宮のなっちゃん
Q.観点についてどう思う？ A.,Q.観点についてどう思う？ A.スイングした時に脇腹に当たるぞ、それ結局、そう!敵が届かない範囲でマジで強い、マジで強い攻撃を食らわないっていう観点からすれば強くない?
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.それって本当に加藤純一からのDMですか?
Q.中についてどう思う？ A.,Q.中についてどう思う？ A.これね、フューズのこん中あっち行けな。
Q.加害についてどう思う？ A.,Q.加害についてどう思う？ A.加害者だってつらいことあるんだよ。
Q.幸せ者についてどう思う？ A.,Q.幸せ者についてどう思う？ A.大変なんだねなんか俺、じゃあ俺幸せ者なんだね
Q.別についてどう思う？ A.,Q.別についてどう思う？ A.確かに別にさもう直接繋がってたらさあのー俺やだよなんかさ
Q.チャンネルについてどう思う？ A.,Q.チャンネルについてどう思う？ A.名え、なんか難しいスタンプ解放1000万にしてくれうちのチャンネルでスタンプ打てるやつはもうすげえみたいないや
Q.問題についてどう思う？ A.,Q.問題についてどう思う？ A.お前なんかいろいろな問題がありそうだなあ。
Q.目についてどう思う？ A.,Q.目についてどう思う？ A.なんでどんぐりみたいな見た目してんすかどんぐりだから俺はしかも会員制じゃないやすこ多分会員制じゃないかでも美味しかったよ
Q.ユータについてどう思う？ A.,Q.ユータについてどう思う？ A.ちょっとアメリカ派話が違うじゃないですかアメリカ派守ってくれるユータじゃないですか話がチャイマンがな守ってくれないぞ守ってくれないだろうね
Q.正月正月についてどう思う？ A.,Q.正月正月についてどう思う？ A.ちょい待ち家中の温度を下げよう正月正月の訪れ
Q.クラゲ水族についてどう思う？ A.,Q.クラゲ水族についてどう思う？ A.ツイキャスじゃなくて今だったらツイッチか山形のクラゲ水族館へー
Q.敵についてどう思う？ A.,Q.敵についてどう思う？ A.そっとしててほしいお前たちは俺と忍をそっとしておけお前たちは新しい敵と戦えそして俺たちに関わるなペット系YouTuber
Q.スタンプアンロックについてどう思う？ A.,Q.スタンプアンロックについてどう思う？ A.俺とパパこれとこれとなんでもいいやこれがみんな俺今何買ったの俺まだスタンプアンロックしてねーじゃねーかよ
Q.源流についてどう思う？ A.,Q.源流についてどう思う？ A.ちなみに日本は核の源流になるプルトニウム大量応用豪雨豪雨です
Q.気についてどう思う？ A.,Q.気についてどう思う？ A.俺的にさあのーTwitchとかでさ他人のYouTube流すの気が引けてるんだけど俺を見るのはいいよ
Q.15キロについてどう思う？ A.,Q.15キロについてどう思う？ A.リッター4廃役でリッター3、4キロしか走んないぜトヨタなんてリッター30キロくらい走るだろまじで15キロは走るでしょ
Q.みんなについてどう思う？ A.,Q.みんなについてどう思う？ A.これみんな何これ俺だけ置いてけばいいの何これみんな何これごめん
Q.内容についてどう思う？ A.,Q.内容についてどう思う？ A.ポツポツポツポツっていうよりビヤーって流れてたほうが俺だから内容とかとがめたことなんにもないでしょ
Q.満についてどう思う？ A.,Q.満についてどう思う？ A.いやでもさすがに満本延期したらできねえ。
Q.要素についてどう思う？ A.,Q.要素についてどう思う？ A.あれる要素なんかねえのにと思ってたのに。
Q.電車についてどう思う？ A.,Q.電車についてどう思う？ A.金梅まで来ちゃうと電車止めてるから行くじゃーん再行線止めてきた電車止める恐れがあるだろう
Q.下についてどう思う？ A.,Q.下についてどう思う？ A.下から見れるトンネルもあるんだいいねえ
Q.今回出番についてどう思う？ A.,Q.今回出番についてどう思う？ A.さすがに呼んだら来るんだけどしかも今回出番多いよ
Q.賞についてどう思う？ A.,Q.賞についてどう思う？ A.俺が賞あげた人ゆのんちゃんゆのんちゃんはそろそろ僕がニコ生始めるぞ動画の収録みたいな感じであいつが始めたら俺生喋るわやってるんだ
Q.辺ロケ地についてどう思う？ A.,Q.辺ロケ地についてどう思う？ A.バケトンあるあの辺ロケ地めちゃくちゃあるんだよ
Q.香水についてどう思う？ A.,Q.香水についてどう思う？ A.僕の男の香水好きすぎて結果的にうんこみたいな匂いがしてトラウマで香水が好きになる
Q.フレンチブルドッグについてどう思う？ A.,Q.フレンチブルドッグについてどう思う？ A.先住犬がチュワックスで後輩犬がフレンチブルドッグなんですがあんまり仲良くなれなくてジャレ屋の駅を越えて喧嘩のような吠え方を毎晩繰り広げていますアドバイスくださいよとか部屋分けてあげればいいじゃん
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.自分より年下の配信者なんか見てたら面白くねえじゃん
Q.暇についてどう思う？ A.,Q.暇についてどう思う？ A.俺明日から暇なんだけどなんかさ、くれよ。
Q.全て失敗談についてどう思う？ A.,Q.全て失敗談についてどう思う？ A.もう全て失敗談だったらもう今からもう朝になっちゃうけどそん時のさ女がさいいんだよなもうそんな経験ないけどさ昔思い出したわいいよーっていいよーって言うねんじゃん
Q.配信時配信についてどう思う？ A.,Q.配信時配信についてどう思う？ A.配信時配信しちゃってバーチャルユーチューバー以外出てこないんだろうなもう出てこないんだろうねわかんねえけどなどうなんだろうね
Q.警察ザタについてどう思う？ A.,Q.警察ザタについてどう思う？ A.警察ザタになっちゃって病院って専用の地下シェルターみたいなのがあってそこにその病院専用のそれすら落ちてて人工心肺
Q.兄貴についてどう思う？ A.,Q.兄貴についてどう思う？ A.今でも怖いけど兄貴ほど兄貴ほど信頼できる人間
Q.人10についてどう思う？ A.,Q.人10についてどう思う？ A.ダルビッシュはちなみに頼んでない理由はメジャーで頑張ってほしいから1秒でも邪魔したくない何人くらい招待したっけな配信者30人ちょいいい芸能人的な人10人くらい関わりのあるね
Q.気持ちについてどう思う？ A.,Q.気持ちについてどう思う？ A.でもさ、ちょっとさ、気持ちだけど、気持ち落ち着いてきてよかったね。
Q.うちについてどう思う？ A.,Q.うちについてどう思う？ A.でさ、そのうちなるだろうみたいな。
Q.正対についてどう思う？ A.,Q.正対についてどう思う？ A.カメラに対して正対するとカメラの位置が悪いのかなえ!
Q.ゃあるめぇしフロストパンクについてどう思う？ A.,Q.ゃあるめぇしフロストパンクについてどう思う？ A.おなみずがやべえ電車のやつは結局あれだなコントローラー買ってねぇなしかもなんかやるゲームめっちゃ積んでるねまあまあゆっくり死ぬわけじゃあるめぇしフロストパンクもやりてんだ正直
Q.案採用についてどう思う？ A.,Q.案採用についてどう思う？ A.お前その案採用するわどうも初めましてどうすんのお前スモモとフォーイが隣同士なんだスモモフォーイシンスケとなったらどうすんだよ
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.徴兵は絶対だよ。絶対行きたくない。
Q.くそについてどう思う？ A.,Q.くそについてどう思う？ A.俺に被って見えなかったくそでかだよ
Q.一億円についてどう思う？ A.,Q.一億円についてどう思う？ A.またお金がなくなるまたお金がなくなる、やだ1000万でも無理だ許してくれ一億円でナオコのコピー配れ別にいいよ、ナオコのコピーだったらタダで配るよ
Q.結婚式についてどう思う？ A.,Q.結婚式についてどう思う？ A.不具合パッチとかあるから結婚式終わるまでそうしよっか別にそんなに焦ってないしなフロムゲーかつ膨大な要領なんだ上手い人で110118時間だもんね終わんねーよ
Q.結婚前についてどう思う？ A.,Q.結婚前についてどう思う？ A.加藤さんの愛人好きなんですよみたいなの結婚してから言ってくる女どもなおせえや結婚前だったら俺たちチャンスあっただろ
Q.別についてどう思う？ A.,Q.別についてどう思う？ A.別に大したことなかったよマウント取りながらえー
Q.中山記念についてどう思う？ A.,Q.中山記念についてどう思う？ A.これG2だったじゃんっていうのがさG1に繰り上げられてたりさ中山記念じゃなかったっけG2だったっけ
Q.絶対無理についてどう思う？ A.,Q.絶対無理についてどう思う？ A.グラフィックすごいんだ楽しみ二日でクリアできないかな噂によると絶対無理だぞって俺のタイムスケジュールを根幹から揺るがすような事実も起きてる絶対無理なんだじゃあ三日は?
Q.モンハンについてどう思う？ A.,Q.モンハンについてどう思う？ A.モンハンもしかしたら死ぬかもしんないけどダウンロードも終わってるよ
Q.旗についてどう思う？ A.,Q.旗についてどう思う？ A.巨大な旗のこのひれを切るペンチでやるかもしれない。
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.あお金かお金と子供か別に子供あったらね近くに住んでれば会えるけどね
Q.1億についてどう思う？ A.,Q.1億についてどう思う？ A.もっと高いだろパンダなんて1億だったらレンタルだよね
Q.素人についてどう思う？ A.,Q.素人についてどう思う？ A.なまじでしかもさ素人でもさ分かりやすい厚いゾーンだったじゃん
Q.72時間についてどう思う？ A.,Q.72時間についてどう思う？ A.やばすぎだろじゃあ72時間で頑張るわボリュームがやばいんだえーえ、2日じゃ無理なんだそのレベルなの?
Q.スルーについてどう思う？ A.,Q.スルーについてどう思う？ A.つらくない?え、スルーだよスルーだよえ
Q.運動会についてどう思う？ A.,Q.運動会についてどう思う？ A.そっか俺下手すりゃ6年後7年後運動会行くの?
Q.固定ツイートについてどう思う？ A.,Q.固定ツイートについてどう思う？ A.で、これを固定ツイートに、プロフィールに固定しておこう。
Q.悪口についてどう思う？ A.,Q.悪口についてどう思う？ A.YouTuberって悪口言っていいバカだよね。
Q.進化シールドについてどう思う？ A.,Q.進化シールドについてどう思う？ A.これはレベル3だ 今のを忘れて進化シールドを発見レベル
Q.血液についてどう思う？ A.,Q.血液についてどう思う？ A.弁膜症の人に若い人は全然出てこねぇ薬の名前が血液さらさらするでっかい薬
Q.マイクロチップについてどう思う？ A.,Q.マイクロチップについてどう思う？ A.うちの猫は捨て猫だから一匹はマイクロチップ入ってないけどペットショップで買ったらペットショップで買ってなくてもってこと?
Q.みんなについてどう思う？ A.,Q.みんなについてどう思う？ A.すげえ閉まるねえなんかねえなんか閉まるねえみんなねえ
Q.見せどころについてどう思う？ A.,Q.見せどころについてどう思う？ A.撮るわとりあえずうわぁそっち行ったらやられそうポータルの 見せどころだろうねえ
Q.脳死サブスク導入についてどう思う？ A.,Q.脳死サブスク導入についてどう思う？ A.人くらい名前忘れちゃったけど足は姫にあげたチャンネルみたいなやつ視聴者からメール来て面白かった脳死サブスク導入してるのに脳死スパチャ批判するのなんだ
Q.無理についてどう思う？ A.,Q.無理についてどう思う？ A.いやでももう技術的に無理なんだよね
Q.離婚についてどう思う？ A.,Q.離婚についてどう思う？ A.さすがにナオコとお姉ちゃんもまあ似てきたわお母さんの片鱗を見る時がある離婚しますか?
Q.横ピンについてどう思う？ A.,Q.横ピンについてどう思う？ A.横ピンとは女らかしててめえ。
Q.4についてどう思う？ A.,Q.4についてどう思う？ A.4頭しかいないのうまくいかなかったんだうわ
Q.若者についてどう思う？ A.,Q.若者についてどう思う？ A.ねいやパンはなんかちょっと若者ぶろうとしすぎてるこれこれこれ!
Q.スイーツについてどう思う？ A.,Q.スイーツについてどう思う？ A.スイーツもエルデンディングやったけどオネロリッシュワクサスするんだよ
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.すごいわ本当にすごいよあんたいい思い出になったね
Q.1回キャバについてどう思う？ A.,Q.1回キャバについてどう思う？ A.ここで1回キャバくらい引きかけるのマジでここで我慢してこの時勢だったらすごいこの我慢は5時間の我慢だうわー苦しい
Q.みんな息子についてどう思う？ A.,Q.みんな息子についてどう思う？ A.みんな息子が襲われてるなんで浮遊…出血もさぁ、もしかしたら手数じゃなくてダメージなのかもね
Q.奥についてどう思う？ A.,Q.奥についてどう思う？ A.マジでわからんどうやって見んのそれうちの奥さんはツイッターとかインスタグラムとかやってないよ
Q.1曲についてどう思う？ A.,Q.1曲についてどう思う？ A.俺ギターミャコさんベースユータキーボードモコボーカルでやるわマジで1曲出すべやろうなんか考えてくれドラムなんか誰でもいいだろいいじゃん揃ったじゃん
Q.資産についてどう思う？ A.,Q.資産についてどう思う？ A.資産とか言ってるやつは値段釣り上げようとしてるだけだけどさ
Q.2週間についてどう思う？ A.,Q.2週間についてどう思う？ A.まあ1時ぐらいまでやってその後なんかそのツイッチかニコ生でダラダラして朝寝るっていう暮らしを2週間する いやあえてずらしたでまだずらしたてだから辛い もう外出ない
Q.取材許可についてどう思う？ A.,Q.取材許可についてどう思う？ A.取材許可とかもらってない割とうまそうなんだいや
Q.28についてどう思う？ A.,Q.28についてどう思う？ A.平日ずっとやって28、1、2、3、4で終わらせる?
Q.ウクレナについてどう思う？ A.,Q.ウクレナについてどう思う？ A.たぶんさNHKですらなんかちょっとこのニュース大丈夫なのかみたいなもうさ何が正しいかなんかさもう何一つないんだからロシアから出てくる情報もさウクレナから出てくる情報もさ
