subject,text
Q.ツネについてどう思う？,Q.ツネについてどう思う？ A.鍋ツネがついたやつなら俺自分売り出すぐらいの
Q.愛についてどう思う？,Q.愛についてどう思う？ A.愛があるんでね
Q.アイコンについてどう思う？,Q.アイコンについてどう思う？ A.アイコンがチャンネルやってるから
Q.YouTubeについてどう思う？,Q.YouTubeについてどう思う？ A.YouTubeはほんと俺チャンネル持つんでしっかり
Q.何についてどう思う？,Q.何についてどう思う？ A.何が嫌だってさ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺が見てんだからてめえが俺に従えよっていう
Q.あいつについてどう思う？,Q.あいつについてどう思う？ A.ほんとあいつは真っ先に潰れるべきだよ
Q.あれについてどう思う？,Q.あれについてどう思う？ A.あれはヒカキンと同じ原理で
Q.意味についてどう思う？,Q.意味についてどう思う？ A.ちょっと意味がわかりません
Q.意味についてどう思う？,Q.意味についてどう思う？ A.意味がわかりません
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.知らねえや石川とかに行ったほうがいいだろ
Q.カカダについてどう思う？,Q.カカダについてどう思う？ A.カカダがアブの喋り方嫌ってたけどどうだろう
Q.それについてどう思う？,Q.それについてどう思う？ A.それは好き嫌いなもんなんじゃないの
Q.あいつについてどう思う？,Q.あいつについてどう思う？ A.あいつがいけねえだろ
Q.知り合いについてどう思う？,Q.知り合いについてどう思う？ A.俺さ知り合いがドワンゴ入ったって言ったじゃん
Q.そいつについてどう思う？,Q.そいつについてどう思う？ A.そいつが懲戒儀仕事で行くって言うから
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺もちょっとなんか呼ばれてん
Q.ゲロについてどう思う？,Q.ゲロについてどう思う？ A.ゲロが出るんだったらちょろっと行こうかなと思ってんだよね
Q.どもについてどう思う？,Q.どもについてどう思う？ A.バカどもがコメント打ってな
Q.誰についてどう思う？,Q.誰についてどう思う？ A.誰も俺のこと興味ないのに
Q.絡みについてどう思う？,Q.絡みについてどう思う？ A.絡みがあるよ毎回
Q.俺についてどう思う？,Q.俺についてどう思う？ A.だから俺もその2人は
Q.なんにについてどう思う？,Q.なんにについてどう思う？ A.いいことなんにもないじゃん
Q.なんにについてどう思う？,Q.なんにについてどう思う？ A.なんにもなくない
Q.見た目についてどう思う？,Q.見た目についてどう思う？ A.恭一郎見た目がヤクザになってる
Q.意味についてどう思う？,Q.意味についてどう思う？ A.ところでタイトルの意味はなんですか
Q.お前についてどう思う？,Q.お前についてどう思う？ A.お前が香川守れんだったら
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺も守ってくれ
Q.お前についてどう思う？,Q.お前についてどう思う？ A.お前もう絶対言わせねえかんな
Q.居心地についてどう思う？,Q.居心地についてどう思う？ A.なんていうの居心地がいい感じでしょ
Q.人についてどう思う？,Q.人についてどう思う？ A.あの人が人気なのって
Q.愛についてどう思う？,Q.愛についてどう思う？ A.あいつの実況に対する愛は本物だって
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺が間違ってるじゃんって
Q.俺についてどう思う？,Q.俺についてどう思う？ A.ほんと俺もそれやなんだよね
Q.人についてどう思う？,Q.人についてどう思う？ A.29人もなってこんなこと言うの頭
Q.話についてどう思う？,Q.話についてどう思う？ A.なんかでもモコの話が上がるってことは
Q.何にについてどう思う？,Q.何にについてどう思う？ A.何にも頼りがない時は
Q.それについてどう思う？,Q.それについてどう思う？ A.それはそれで好きな人もいるじゃん
Q.それについてどう思う？,Q.それについてどう思う？ A.それはそれでね
Q.方についてどう思う？,Q.方についてどう思う？ A.動画の方がいい感じあるわ
Q.モコについてどう思う？,Q.モコについてどう思う？ A.モコは覚悟決めてやってる感じあるやん
Q.何についてどう思う？,Q.何についてどう思う？ A.女の玉蹴り見て何が面白いのか
Q.何にについてどう思う？,Q.何にについてどう思う？ A.何にも知らない小学校の運動会
Q.応援についてどう思う？,Q.応援についてどう思う？ A.応援はしてるよ
Q.枠についてどう思う？,Q.枠についてどう思う？ A.まあでも上手くいかない枠もあるだろ
Q.マンについてどう思う？,Q.マンについてどう思う？ A.Cマンが会話認識しな
Q.あれについてどう思う？,Q.あれについてどう思う？ A.そういうあれもあるんだね
Q.方についてどう思う？,Q.方についてどう思う？ A.俺の方が上手いんじゃねえかな
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.男性のスポーツを見たほうがいいと思うよ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.話を見たほうがいいと思う
Q.方についてどう思う？,Q.方についてどう思う？ A.あマラソンは女子の方が面白いね
Q.らについてどう思う？,Q.らについてどう思う？ A.弱いやつらが頑張って
Q.それについてどう思う？,Q.それについてどう思う？ A.それはちょっとごめん
Q.ドラマについてどう思う？,Q.ドラマについてどう思う？ A.なんかドラマがあるよなQちゃんとかな
Q.病についてどう思う？,Q.病についてどう思う？ A.中二病が出ちゃった
Q.バレーについてどう思う？,Q.バレーについてどう思う？ A.男子バレーは素人じゃ追えないスピード
Q.バレーについてどう思う？,Q.バレーについてどう思う？ A.バレーは女だなって
Q.動画についてどう思う？,Q.動画についてどう思う？ A.動画は頼むぞ
Q.お前についてどう思う？,Q.お前についてどう思う？ A.お前が女性を排除しとけ
Q.ちゃんについてどう思う？,Q.ちゃんについてどう思う？ A.文子ちゃんが生放送でできること全部やった
Q.教材についてどう思う？,Q.教材についてどう思う？ A.ここまで教材は与えたんだから
Q.主についてどう思う？,Q.主についてどう思う？ A.有名な生主がいると思うよ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.恥ずかしいけど俺は最後まで
Q.鼓動についてどう思う？,Q.鼓動についてどう思う？ A.俺の鼓動が止まるまで
Q.気についてどう思う？,Q.気についてどう思う？ A.気が入って生主が誰一人いねえんだよ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は言い続けるよ
Q.得についてどう思う？,Q.得についてどう思う？ A.何の得もないよ
Q.視聴者についてどう思う？,Q.視聴者についてどう思う？ A.視聴者も別に
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺もレトロと好きって
Q.俺についてどう思う？,Q.俺についてどう思う？ A.いや俺もレトロと好きって言えない
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.確実にやめといたほうがいいよ
Q.やつについてどう思う？,Q.やつについてどう思う？ A.公言してるやつはマジで本当に
Q.やつについてどう思う？,Q.やつについてどう思う？ A.パワプロと喋り方みたいなやつが動画上げたら
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺が冗談でさ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺がニコ生チャンピオンだって見抜いてたの
Q.彼氏についてどう思う？,Q.彼氏についてどう思う？ A.彼氏がニコ生で有名で
Q.彼氏についてどう思う？,Q.彼氏についてどう思う？ A.友達に彼氏がニコ生やってることだけは
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺も言えねえもん
Q.色についてどう思う？,Q.色についてどう思う？ A.色も白くて単発
Q.顔についてどう思う？,Q.顔についてどう思う？ A.顔もかっこよくて常にマスクしてて
Q.てめえについてどう思う？,Q.てめえについてどう思う？ A.てめえがレトルトのゴミあのクソ貼ったぞ
Q.思考についてどう思う？,Q.思考についてどう思う？ A.俺それクラスの思考は巡らせる
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.俺レトルトがエアマックスもし履いてたら
Q.発想についてどう思う？,Q.発想についてどう思う？ A.発想は持ってるよ実際しないよ
Q.それについてどう思う？,Q.それについてどう思う？ A.それは実際しないけど
Q.ギャップについてどう思う？,Q.ギャップについてどう思う？ A.それのギャップがあるからやっぱり言えないよね
Q.人格についてどう思う？,Q.人格についてどう思う？ A.人格が分かれてるから
Q.俺についてどう思う？,Q.俺についてどう思う？ A.その人格のことを俺はしのぶ
Q.しのぶについてどう思う？,Q.しのぶについてどう思う？ A.しのぶがたまに出てきちゃうんだよな
Q.人格についてどう思う？,Q.人格についてどう思う？ A.慰めてくれる人格があって
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.レトルトはマジで好きだからほんと許して
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.セピアとレトルトはお願い許して
Q.キオについてどう思う？,Q.キオについてどう思う？ A.キオは許さなくていいから
Q.手についてどう思う？,Q.手についてどう思う？ A.俺だってこんな手は使いたくなかったんだ
Q.ほんとについてどう思う？,Q.ほんとについてどう思う？ A.ほんとはこんなことしたくなかったんだ
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.レトルトはお前のこと嫌いだよ
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.いいやレトルトは俺のこと好きだね
Q.キヨについてどう思う？,Q.キヨについてどう思う？ A.キヨはお前のこと好きだよ
Q.キヨについてどう思う？,Q.キヨについてどう思う？ A.キヨが俺のこと好きとか言ってたら
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺がいくらほんとにレトルト好きで
Q.それについてどう思う？,Q.それについてどう思う？ A.それはもうこっちの言い分なんだから
Q.しのぶについてどう思う？,Q.しのぶについてどう思う？ A.しのぶも寝たから俺も寝ます
Q.経験についてどう思う？,Q.経験についてどう思う？ A.飛ばされた経験があるとね
Q.部署についてどう思う？,Q.部署についてどう思う？ A.移動っていうか部署が担当部署が変わったのね
Q.それについてどう思う？,Q.それについてどう思う？ A.それがまあ上のゴタゴタで
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺が巻き込まれた形
Q.要についてどう思う？,Q.要についてどう思う？ A.要は仲良し人事したいから
Q.トレードについてどう思う？,Q.トレードについてどう思う？ A.トレードが決まって
Q.ひよっこについてどう思う？,Q.ひよっこについてどう思う？ A.ほんとひよっこもいいとこじゃん
Q.なんについてどう思う？,Q.なんについてどう思う？ A.なんも分かんない
Q.右についてどう思う？,Q.右についてどう思う？ A.右も左も分かんない状態でいきなり行って
Q.要についてどう思う？,Q.要についてどう思う？ A.要はなんかもう
Q.命についてどう思う？,Q.命についてどう思う？ A.命が一番やばい奴らが入る場所みたいな
Q.ジジイについてどう思う？,Q.ジジイについてどう思う？ A.タンで溺れてるジジイがいたの
Q.ジジイについてどう思う？,Q.ジジイについてどう思う？ A.タンで溺れてるジジイがいたのね
Q.みんなについてどう思う？,Q.みんなについてどう思う？ A.みんながいきなり
Q.何にについてどう思う？,Q.何にについてどう思う？ A.俺何にも分かんない
Q.右についてどう思う？,Q.右についてどう思う？ A.右も左も分かんない
Q.ものについてどう思う？,Q.ものについてどう思う？ A.分かんないものは分かんないんだよ
Q.声についてどう思う？,Q.声についてどう思う？ A.声も出ないんだってほんと
Q.ことについてどう思う？,Q.ことについてどう思う？ A.いやそういう仕事だろってことはそうなんだけど
Q.たちについてどう思う？,Q.たちについてどう思う？ A.この人たちは何も分からなくて当たり前だっていう
Q.姿勢についてどう思う？,Q.姿勢についてどう思う？ A.それ学ぶ姿勢が大事なだけであってさ
Q.何についてどう思う？,Q.何についてどう思う？ A.最初は何も分からないんだよ
Q.委員長についてどう思う？,Q.委員長についてどう思う？ A.委員長が言ってたのは
Q.仕事についてどう思う？,Q.仕事についてどう思う？ A.石井以外の仕事は中学生でできるから
Q.たちについてどう思う？,Q.たちについてどう思う？ A.あなたたちが誇るべきは
Q.ことについてどう思う？,Q.ことについてどう思う？ A.そのプライドを持つことはいいけど
Q.たちについてどう思う？,Q.たちについてどう思う？ A.自分たちが預かってるみたいな
Q.仕事についてどう思う？,Q.仕事についてどう思う？ A.みんなの仕事は中学生でもできるから
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は確かにそうだなと思ったよ
Q.みんなについてどう思う？,Q.みんなについてどう思う？ A.みんながバーンって事故とか起こしてさ
Q.しょうについてどう思う？,Q.しょうについてどう思う？ A.でもしょうがなくない
Q.人間についてどう思う？,Q.人間についてどう思う？ A.人間がやってるものなんだもん
Q.医者についてどう思う？,Q.医者についてどう思う？ A.神様のような医者がいてさ
Q.人についてどう思う？,Q.人についてどう思う？ A.いう人がいるんだったら別だけどさ
Q.員についてどう思う？,Q.員についてどう思う？ A.当職員がいて
Q.らについてどう思う？,Q.らについてどう思う？ A.彼らが誇るべきは体力と精神力なんだよね
Q.知識についてどう思う？,Q.知識についてどう思う？ A.知識ももちろんあると思うけど
Q.夜勤についてどう思う？,Q.夜勤についてどう思う？ A.だから夜勤も夜勤とカウントしないんだよ
Q.要についてどう思う？,Q.要についてどう思う？ A.当職ってさ要は何かあった時に対応しましょう
Q.要についてどう思う？,Q.要についてどう思う？ A.要は家帰って寝てると一緒でしようっていう
Q.方についてどう思う？,Q.方についてどう思う？ A.病院で働いた方がいいと思うよ
Q.当職についてどう思う？,Q.当職についてどう思う？ A.うちは当職は朝帰ってた
Q.あれについてどう思う？,Q.あれについてどう思う？ A.勤務体系に色々ねあれがあるんだろうね
Q.たちについてどう思う？,Q.たちについてどう思う？ A.下の先生たちはもう帰れないでしょ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は夜勤やってないよ
Q.仕事についてどう思う？,Q.仕事についてどう思う？ A.仕事も大事だけど一番大事なのは人生だと思って
Q.それについてどう思う？,Q.それについてどう思う？ A.それはやめた
Q.生命についてどう思う？,Q.生命についてどう思う？ A.夜勤中に不生命が出まくるのね
Q.振動についてどう思う？,Q.振動についてどう思う？ A.3泊に1泊振動が止まるの
Q.生命についてどう思う？,Q.生命についてどう思う？ A.夜勤やめたら不生命が全く出なくなった
Q.タバコについてどう思う？,Q.タバコについてどう思う？ A.それで俺タバコもやめたし
Q.通るについてどう思う？,Q.通るについてどう思う？ A.いや通るもクソもさ
Q.もんについてどう思う？,Q.もんについてどう思う？ A.無理なもんは無理じゃん
Q.もんについてどう思う？,Q.もんについてどう思う？ A.やるからにはやるけどできないもんはできなくない
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺が能動的にやめるんじゃなくて
Q.お前についてどう思う？,Q.お前についてどう思う？ A.じゃあお前がそういうんならやめようみたいな
Q.見た目についてどう思う？,Q.見た目についてどう思う？ A.しかも見た目も可愛いじゃん
Q.病院についてどう思う？,Q.病院についてどう思う？ A.病院はゆるいから
Q.病院についてどう思う？,Q.病院についてどう思う？ A.病院は結構ゆるいよ
Q.先生についてどう思う？,Q.先生についてどう思う？ A.西川彩子先生はまた別件だね
Q.ミラーについてどう思う？,Q.ミラーについてどう思う？ A.ミラーはごみだけどたまには見てやってな
Q.層についてどう思う？,Q.層についてどう思う？ A.マーチで一番層が薄い
Q.やつについてどう思う？,Q.やつについてどう思う？ A.法学部行ってたやつが消防士になってた
Q.俺についてどう思う？,Q.俺についてどう思う？ A.唯一俺も忘れたわ
Q.一人についてどう思う？,Q.一人についてどう思う？ A.一人も法制
Q.男についてどう思う？,Q.男についてどう思う？ A.消防士警察の男がDVを
Q.メディアについてどう思う？,Q.メディアについてどう思う？ A.まぁ警察官はあれだなメディアが規制入るだろうけど
Q.らについてどう思う？,Q.らについてどう思う？ A.なんでかっていうとそんな奴らがみたいな
Q.ホストについてどう思う？,Q.ホストについてどう思う？ A.元ホストがDVしましたやるでしょみたいな感じじゃん
Q.教師についてどう思う？,Q.教師についてどう思う？ A.教師がDVしました
Q.たちについてどう思う？,Q.たちについてどう思う？ A.だからそういう人たちが目立って報道されてるけど
Q.クズについてどう思う？,Q.クズについてどう思う？ A.絶対ある一定数はクズがいるし
Q.自分についてどう思う？,Q.自分についてどう思う？ A.多いけど自分がだって100万も200万も
Q.わけについてどう思う？,Q.わけについてどう思う？ A.棒に振るわけがないじゃん
Q.教師についてどう思う？,Q.教師についてどう思う？ A.教師が自分の生徒に
Q.数についてどう思う？,Q.数についてどう思う？ A.一定数はいるでしょ
Q.教師についてどう思う？,Q.教師についてどう思う？ A.教師がやったわ
Q.関係についてどう思う？,Q.関係についてどう思う？ A.関係は疑問視されるよね
Q.事件についてどう思う？,Q.事件についてどう思う？ A.事件があった時に
Q.教師についてどう思う？,Q.教師についてどう思う？ A.教師はバンバンネタにされてるでしょ
Q.仕事についてどう思う？,Q.仕事についてどう思う？ A.何それそんな仕事があるの
Q.やつについてどう思う？,Q.やつについてどう思う？ A.俺の友達の中卒のやつが泥だらけのやつだな
Q.いじるについてどう思う？,Q.いじるについてどう思う？ A.車いじるのが好きなやつはあれだよな
Q.大工についてどう思う？,Q.大工についてどう思う？ A.大工はいいじゃねえかよ
Q.工についてどう思う？,Q.工についてどう思う？ A.柴崎工がやってたよね
Q.薬剤師についてどう思う？,Q.薬剤師についてどう思う？ A.薬剤師は結構給料いいんじゃない
Q.やつについてどう思う？,Q.やつについてどう思う？ A.ダルビッシュみてえなやつが行ってたわ
Q.ITについてどう思う？,Q.ITについてどう思う？ A.ITも給料そこそこいいぞ
Q.関係についてどう思う？,Q.関係についてどう思う？ A.関係があれなんじゃないの
Q.材についてどう思う？,Q.材についてどう思う？ A.頂材は儲かる
Q.友達についてどう思う？,Q.友達についてどう思う？ A.俺の友達はもう端から端までゴミみてえな感じだよ
Q.やつについてどう思う？,Q.やつについてどう思う？ A.お前の先輩にキサヌキってやつがいるから
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺がいない中ディスカッションしててくれ
Q.話についてどう思う？,Q.話についてどう思う？ A.仕事の話が終わったタイミングで
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺はイエス
Q.ニコ生についてどう思う？,Q.ニコ生についてどう思う？ A.ヘタしてニコ生が見てるやつ無職が多いでしょ
Q.金についてどう思う？,Q.金についてどう思う？ A.金ももらえねえしさ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.働いたほうがよっぽど有意義だぞ
Q.バイトについてどう思う？,Q.バイトについてどう思う？ A.バイトは働いてるに入れてるでしょ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.働いたほうがよっぽど楽だぞ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.働いたほうがよっぽど楽だぞ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.絶対そのほうが楽だから
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.しかも仕事なんか選ばないと腐るほうがあるだろうし
Q.日についてどう思う？,Q.日についてどう思う？ A.10日もねえか
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺もねえけど
Q.ベースについてどう思う？,Q.ベースについてどう思う？ A.ベースが10日だな
Q.6についてどう思う？,Q.6についてどう思う？ A.6はきついねえ
Q.有給についてどう思う？,Q.有給についてどう思う？ A.有給も全部使えるし
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.適当に休んだほうがいいよ
Q.仕事についてどう思う？,Q.仕事についてどう思う？ A.仕事が大事だ大事だって言ってるけど
Q.命についてどう思う？,Q.命についてどう思う？ A.命が一番大事だからね
Q.500についてどう思う？,Q.500についてどう思う？ A.俺500は全然もらってるから
Q.夢についてどう思う？,Q.夢についてどう思う？ A.夢がなさすぎるなあ
Q.家賃についてどう思う？,Q.家賃についてどう思う？ A.でも東京はその分家賃も高いし
Q.俺についてどう思う？,Q.俺についてどう思う？ A.駐車台込みで俺も月20払ってるんだよ
Q.夢についてどう思う？,Q.夢についてどう思う？ A.あ夢があるね
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.やめたほうがいいんじゃないのって思っちゃうけど
Q.やつについてどう思う？,Q.やつについてどう思う？ A.お前のやつが俺の給料より高いぞ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.やめたほうがいい
Q.金についてどう思う？,Q.金についてどう思う？ A.専門に行く金がない
Q.俺についてどう思う？,Q.俺についてどう思う？ A.頭なんて別に俺も良くねえよ
Q.世の中についてどう思う？,Q.世の中についてどう思う？ A.だからなんか世の中はそういうさ
Q.生についてどう思う？,Q.生についてどう思う？ A.喜ぶこのニコ生が栄える
Q.奨学金についてどう思う？,Q.奨学金についてどう思う？ A.まあ奨学金は借りない方がいいと思うけど
Q.お姉ちゃんについてどう思う？,Q.お姉ちゃんについてどう思う？ A.突然話ぶっこんで今度うちのお姉ちゃんがまた結婚するんだけど
Q.結婚式についてどう思う？,Q.結婚式についてどう思う？ A.お姉ちゃんの結婚式は盛大に祝いたいじゃん
Q.顔についてどう思う？,Q.顔についてどう思う？ A.俺より1個下の顔がかっこいい
Q.回についてどう思う？,Q.回についてどう思う？ A.でもまだ俺相手に1回も会ったことないっていうさ
Q.あいつについてどう思う？,Q.あいつについてどう思う？ A.あいつはマジで
Q.あれについてどう思う？,Q.あれについてどう思う？ A.あれはやばいよ
Q.気についてどう思う？,Q.気についてどう思う？ A.気も座ってんだろ
Q.男についてどう思う？,Q.男についてどう思う？ A.男が弱いんだよね
Q.猫についてどう思う？,Q.猫についてどう思う？ A.どんどん猫がうちのお父さんの周りに
Q.らについてどう思う？,Q.らについてどう思う？ A.こいつらが勝手に寄ってくるんだ
Q.ちゃんについてどう思う？,Q.ちゃんについてどう思う？ A.うちのおばあちゃんが殺そうとしてたけど
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺はばあちゃん派だな
Q.ボルトについてどう思う？,Q.ボルトについてどう思う？ A.ボルトが止まる止まるって言ってた先生が
Q.病院についてどう思う？,Q.病院についてどう思う？ A.病院はやだ!
Q.顔についてどう思う？,Q.顔についてどう思う？ A.どう考えても 顔が一番かっこいいじゃん
Q.顔についてどう思う？,Q.顔についてどう思う？ A.顔が一番かっこいいときに いい女捕まえたほうがいいよ
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺はそれができずに今苦労してます
Q.気についてどう思う？,Q.気についてどう思う？ A.32って聞いたら痛い理由分かる気がする
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺は20だけどモテない
Q.顔についてどう思う？,Q.顔についてどう思う？ A.それ年のせいじゃなくて 顔がブサイクだから
Q.何についてどう思う？,Q.何についてどう思う？ A.セピア痛くねーよ 何が痛いの言ってこないよ
Q.人についてどう思う？,Q.人についてどう思う？ A.なんで人が嫌がることやんの 最低だねマジで
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.横浜みどりさんのほうがよっぽど痛えだろ
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.セピアのほうがよっぽどマジだよ
Q.どについてどう思う？,Q.どについてどう思う？ A.どもどもしゃべって神回わらわらみてーな
Q.校舎についてどう思う？,Q.校舎についてどう思う？ A.意味わかんねー なんで校舎がたたえられて
Q.セピアについてどう思う？,Q.セピアについてどう思う？ A.セピアがどんどんディスられてんの
Q.お前についてどう思う？,Q.お前についてどう思う？ A.お前が人が嫌がることでしょ
Q.自分についてどう思う？,Q.自分についてどう思う？ A.自分が凛としてればいいじゃん
Q.自分についてどう思う？,Q.自分についてどう思う？ A.自分がなんか悪いことするの俺のせいにするの
Q.組についてどう思う？,Q.組についてどう思う？ A.他のゆとり組はクソほど興味ないよ
Q.ことについてどう思う？,Q.ことについてどう思う？ A.だからみどりさんのことはすごい好きだけど
Q.俺についてどう思う？,Q.俺についてどう思う？ A.俺もなんか言いすぎちゃったところはある
Q.ほうについてどう思う？,Q.ほうについてどう思う？ A.GB2面白いか見たほうがいいよ
Q.方についてどう思う？,Q.方についてどう思う？ A.まったんの方が面白い いやまったん面白くなかったとき
Q.レトルトについてどう思う？,Q.レトルトについてどう思う？ A.レトルトも知恵遅れじゃん
Q.さんについてどう思う？,Q.さんについてどう思う？ A.あとみどりさんも知恵遅れじゃん
Q.僕についてどう思う？,Q.僕についてどう思う？ A.僕は別に知恵遅れじゃない
Q.僕についてどう思う？,Q.僕についてどう思う？ A.僕はアスペだからそうだもん
Q.セピアについてどう思う？,Q.セピアについてどう思う？ A.セピアは別に知恵遅れでね
Q.いつもについてどう思う？,Q.いつもについてどう思う？ A.あいつも賢いよ 偏差値高いよ多分すごい
Q.緑についてどう思う？,Q.緑についてどう思う？ A.緑は好きじゃないけど赤ちゃん可愛いから見てる
