original,generated
Q.暴徳についてどう思う？ A.,Q.暴徳についてどう思う？ A.ダメだったらフジナミに対する暴徳だよ
Q.事態しょうについてどう思う？ A.,Q.事態しょうについてどう思う？ A.1試合2試合出たくらいで成績落とすとは思わないけど坂本はマジで事態しょうがないじゃん怪我してるじゃんバウは月間MVPだもんな
Q.パソコンについてどう思う？ A.,Q.パソコンについてどう思う？ A.パソコンに入れてるなぁでやってもらいます
Q.明日ほんとについてどう思う？ A.,Q.明日ほんとについてどう思う？ A.まず反抗探すのがだるいじゃんねえし反抗なんて坂本ちゃんが回してくれる明日ほんとすいません
Q.松本ひとしについてどう思う？ A.,Q.松本ひとしについてどう思う？ A.超どうでもいい顔がわかんねー名前を知ってっけど3姉妹でしょだんだん松本ひとし
Q.カスバーについてどう思う？ A.,Q.カスバーについてどう思う？ A.もうこれで何このカスバーって新しいマップを出たのえ
Q.前ボールについてどう思う？ A.,Q.前ボールについてどう思う？ A.さすがに前ボールだろあっ真ん中行ってるこれね
Q.空空についてどう思う？ A.,Q.空空についてどう思う？ A.空空はダメなんだって今日 嫌なんだって一応来ましたっていう既成事実だけ 眠いんだろうなキャットタワー定点カメラいいだろうすっげー
Q.オワコン機についてどう思う？ A.,Q.オワコン機についてどう思う？ A.ついにか、ついに来たんだな2ヶ月ぶり1024回目のオワコン機来たゼルダ
Q.大谷翔平についてどう思う？ A.,Q.大谷翔平についてどう思う？ A.大谷翔平が 真っ直ぐ来るかもしんないね
Q.スピード感についてどう思う？ A.,Q.スピード感についてどう思う？ A.こうなっちゃうとさ結局待たなきゃいけないからさスピード感なるサッカーがん?
Q.腸についてどう思う？ A.,Q.腸についてどう思う？ A.おついち:「後ろについて、三胞腸科になってくらー!」兄者:「その心強いな、なんかじゃあ俺が演説するときおめぇちゃんと後ろで見ててくれよ!」
Q.東京ドームについてどう思う？ A.,Q.東京ドームについてどう思う？ A.おしのこのコラボの声優の支給式見てない会場に入ったのが東京ドーム入ったのが5時50分ぐらいだから見てるんだよな
Q.メイド喫茶についてどう思う？ A.,Q.メイド喫茶についてどう思う？ A.親とメイド喫茶行ってさおかえりなさいませご主人様どうしてんの回ってます
Q.方についてどう思う？ A.,Q.方についてどう思う？ A.もちろんパッと決めてパッとやった方がいいんだよ
Q.編み編みについてどう思う？ A.,Q.編み編みについてどう思う？ A.編み編みの白い編み編みのカイランバ回ってくんのね
Q.娘全体についてどう思う？ A.,Q.娘全体についてどう思う？ A.ふざけんなよくっ飛ばすぞこんな野郎くっ飛ばされてるのかなんで子供が娘全体だったんだよ
Q.タバコについてどう思う？ A.,Q.タバコについてどう思う？ A.タバコ吸ってるからちょっと待ってくれタバコ吸ってんだよ
Q.福西隆についてどう思う？ A.,Q.福西隆についてどう思う？ A.解説には福西隆さんを迎えしています
Q.ベストについてどう思う？ A.,Q.ベストについてどう思う？ A.俺だったら1個けんの俺これがもうベストなんですよ
Q.男についてどう思う？ A.,Q.男についてどう思う？ A.男より女の ほうが女のほうがモテるんだもんねえ
Q.絶対オフサイドについてどう思う？ A.,Q.絶対オフサイドについてどう思う？ A.絶対オフサイドちょっと俺悪かったなあ嘘じゃねえかいいか本当はここで選手変えなきゃいけないんだけど一応練習だからひとまずこのままで主にディフェンスの練習いいサイドチェンジあー
Q.ダメについてどう思う？ A.,Q.ダメについてどう思う？ A.みんながダメって言うんだったら、いかないけど310キロカロリーで320円!?
Q.500についてどう思う？ A.,Q.500についてどう思う？ A.じゃあ500円だとして計算しよう500×18000として900万いやちげーなもっともらってるな73くらいじゃない?
Q.こと一回についてどう思う？ A.,Q.こと一回についてどう思う？ A.ついに俺にはそういうこと一回もして こなかったのね
Q.間についてどう思う？ A.,Q.間についてどう思う？ A.これこれ残り35秒の間に流れるってこと?
Q.100についてどう思う？ A.,Q.100についてどう思う？ A.ピンフで裏が100枚乗りますおりねーよ
Q.5体満足についてどう思う？ A.,Q.5体満足についてどう思う？ A.5体満足なら両付きで手取り25万3人ほど採用できるそこだなめちゃくちゃいるだろ経営者こんなとこで休日する企業で冷静食いは別にいいでしょ出会いよ出会い男は繁盛のカードショップ
Q.ジャンプパッドについてどう思う？ A.,Q.ジャンプパッドについてどう思う？ A.回復はだいぶお前のジャンプパッドどこで使うごめん
Q.クライシスコアについてどう思う？ A.,Q.クライシスコアについてどう思う？ A.俺知らなかったクライシスコアもあるじゃんてかPS5ってやっぱ値段下がんねえなうわーやりてえろまさかみんさがおばさんの実況見てください
Q.板についてどう思う？ A.,Q.板についてどう思う？ A.3年3ヶ月高橋も本当に板の伴み
Q.コーンポタージュについてどう思う？ A.,Q.コーンポタージュについてどう思う？ A.一番好きなのはコーンポタージュだな大崎くんもうめえな大崎くん
Q.メカ犬についてどう思う？ A.,Q.メカ犬についてどう思う？ A.フレンジあれ勝つよメカ犬入れてオーケーできない犬飼ってないんだよ
Q.最終ラインについてどう思う？ A.,Q.最終ラインについてどう思う？ A.みんな好きだったんだけどな最終ラインが早いボランチが走れお前マジで逃げろ行け
Q.ブロンズ1についてどう思う？ A.,Q.ブロンズ1についてどう思う？ A.兄者:「あぁー…」おついち:「ブロンズ1こい!」
Q.地下元についてどう思う？ A.,Q.地下元についてどう思う？ A.本当に前川か地下元の野郎がさ戦闘出しちゃってさレフトスタンドのホームランちゃうやってかーくそもんねーと思って見せたんだけど無事に勝ってね
Q.結局ウバンについてどう思う？ A.,Q.結局ウバンについてどう思う？ A.このままじゃ結局ウバンがいらないチーピンパピンだったかチーピンパピンだったかなドラ1ただ3万もね単焼ドラ1
Q.コラボカフェについてどう思う？ A.,Q.コラボカフェについてどう思う？ A.ガースは人狼だけの実況者グループがあって それでコラボカフェができる
Q.選択についてどう思う？ A.,Q.選択についてどう思う？ A.ここから選択によってストーリーが分岐する知らねえよ知るかあれどれだっけアビリティなくねなさそうだよ
Q.最近についてどう思う？ A.,Q.最近についてどう思う？ A.最近の子っていうか若い子ってみんなそうなんじゃない?
Q.声についてどう思う？ A.,Q.声についてどう思う？ A.年取ると声がどんどん低くなってくるんだよ
Q.メインステージについてどう思う？ A.,Q.メインステージについてどう思う？ A.そんなのだってあれだよねメインステージ行ってるよね
Q.パス回しについてどう思う？ A.,Q.パス回しについてどう思う？ A.こういうことをしていたんですけどなんかすべてのスタートが一歩遅かったにやばすぎやばすぎないそれやばすぎないパス回しいや
Q.川スパイギアについてどう思う？ A.,Q.川スパイギアについてどう思う？ A.あれスタルあ関関言うたな関川ケイジスタルの関釈迦の川スパイギアのめぐみ11-1で関川ケイジにしな?
Q.ザンクについてどう思う？ A.,Q.ザンクについてどう思う？ A.ザンクじゃんザンクよ1987年4200円 89年4400円
Q.今パースについてどう思う？ A.,Q.今パースについてどう思う？ A.今パースを切ってよかったよねーでもりゃんぺこに出ないローマン 下者がバカみたいにローマンさんが来てるからうわマジでチンチンいけたよー チンチンチンいけたいつも見えてた全然 ルーマンがねーやだね
Q.自販いちについてどう思う？ A.,Q.自販いちについてどう思う？ A.あと1枚も混ぜるで重ねるわ自販いちばむきらねー
Q.脳みそについてどう思う？ A.,Q.脳みそについてどう思う？ A.自分の声が脳みそがバグるんだよ
Q.学校1年についてどう思う？ A.,Q.学校1年についてどう思う？ A.すごい感情移入が得意だな山川の娘の気持ちになっちゃったんだまだ小学校1年生くらいだけど多分いい奴だなお前
Q.19時についてどう思う？ A.,Q.19時についてどう思う？ A.俺が把握してない 19時完全に時間配布間違ってるいや
Q.インストールについてどう思う？ A.,Q.インストールについてどう思う？ A.まぁまたインストールすればいいしねやりたくなったらやりましたかファイナルファンタジー16
Q.全機シルバーネズラについてどう思う？ A.,Q.全機シルバーネズラについてどう思う？ A.ちくしょうおいおめえのせいで入れねえぞマッチングメイキングに来い全機シルバーネズラ
Q.鈴木聖弥についてどう思う？ A.,Q.鈴木聖弥についてどう思う？ A.ぽぽちゃーんねえよ今度は待つストライクまで舐めんなあんまりこれ村上にホームラン打てのサインね鈴木聖弥からそうた俺ピアサも見てるよだからあんまりイタリア語を喋れるけど喋ったらバレるから 振らないんだ
Q.途端についてどう思う？ A.,Q.途端についてどう思う？ A.ちなみに今もアヤティってロシアの正統派の美人が出てきたけどそいつも日本の講座なくてyoutubeやりますって言った途端ブチ切れてファンがやってふざけんじゃねーよ
Q.人についてどう思う？ A.,Q.人についてどう思う？ A.この人いいねズームって送られてきたURLを踏めばいいんですよねできますできるかないけるよね
Q.兄者についてどう思う？ A.,Q.兄者についてどう思う？ A.兄者:「いられれば騙しそうがねえや!」
Q.父についてどう思う？ A.,Q.父についてどう思う？ A.ここはもうお父さんだと思ってください。
Q.借金についてどう思う？ A.,Q.借金についてどう思う？ A.借金4億円あるんだってどうやって借金するのこんな返せるなら借りなくても良くないっていうのは浅い俺のイメージだよ貯金1億円あったらさ
Q.時についてどう思う？ A.,Q.時についてどう思う？ A.こういう時にかまた使うとかそういう動きができなくなっちゃってるよ
Q.中についてどう思う？ A.,Q.中についてどう思う？ A.ナイス蹴りたくねーなこれ上だ中に出したっけ
Q.結局紙切れについてどう思う？ A.,Q.結局紙切れについてどう思う？ A.勝手に俺たちが値段を釣り上げてるだけでさ本来の原価を出す原価の話だったらそうでしょ結局紙切れなんだよだったらそれは国も許してくれるよ
Q.明日についてどう思う？ A.,Q.明日についてどう思う？ A.口が開けるほうがインパクトあるからねもうしょうがない明日
Q.用済みについてどう思う？ A.,Q.用済みについてどう思う？ A.あれかチュールもらったら俺は用済みかあんなに酔ってきてたのにな
Q.やつについてどう思う？ A.,Q.やつについてどう思う？ A.どうしてもやりたいやつだったんだよね。
Q.ユリースについてどう思う？ A.,Q.ユリースについてどう思う？ A.ユリースの本名が分かんないように海外の人の名前って覚えらんないよね
Q.5時についてどう思う？ A.,Q.5時についてどう思う？ A.5時などがあり社会人として恥ずかしいです再送させていただきます
Q.松井秀樹についてどう思う？ A.,Q.松井秀樹についてどう思う？ A.松井秀樹くんの時しか見てない俺背番号55
Q.実際についてどう思う？ A.,Q.実際についてどう思う？ A.実際のやりとりが見えるのマジで分からん
Q.藤についてどう思う？ A.,Q.藤についてどう思う？ A.藤並マジでアスレチックスいってマジよかったよね
Q.生についてどう思う？ A.,Q.生についてどう思う？ A.誰だっけなニコ生にすっごいかわいい女の子があの子何してんだろう
Q.ページについてどう思う？ A.,Q.ページについてどう思う？ A.ページにはあいいね続々と帰ってきてるあいいねいいねいいね
Q.今についてどう思う？ A.,Q.今についてどう思う？ A.今のはねえ、いいたまなんだよなあ。
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.本当は婚外子でも別にいいんだけどいいと思ってたんだけどさ
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.30万円20万円だと子供できたら辛そう30万円は絶対いけるよね
Q.手についてどう思う？ A.,Q.手についてどう思う？ A.重なったら嘘きっかねいい手作るね君こっからすよ
Q.正々についてどう思う？ A.,Q.正々についてどう思う？ A.まあでも制作に関してはねまあでも正々堂々やってたほうがいいんじゃないか帰ってくるよいや
Q.黒人についてどう思う？ A.,Q.黒人についてどう思う？ A.ほんとはさ黒人さんも呼びたかったんだけどさ黒人さん
Q.神茶についてどう思う？ A.,Q.神茶についてどう思う？ A.これ小ささ泣くのありそしたらいいそう神茶が思
Q.さっきチュールについてどう思う？ A.,Q.さっきチュールについてどう思う？ A.ブンブン、さっきチュール食べたじゃん、だから。
Q.気持ちについてどう思う？ A.,Q.気持ちについてどう思う？ A.でもそれをやってるってことはもうお前の気持ちはそういうことなんだからって辞めさせられた。
Q.感じについてどう思う？ A.,Q.感じについてどう思う？ A.ケイジみたいな感じでいいじゃんそうしな?
Q.買い方についてどう思う？ A.,Q.買い方についてどう思う？ A.イクイノックスなぁ でも買えない俺は俺の買い方じゃ勝てない リスクだけ取るさすがにでも イクイノックスよ
Q.今ストライクについてどう思う？ A.,Q.今ストライクについてどう思う？ A.今ストライクだけどなあセンターちょいとおめえゲンダーなんかエラーした ことないんだからナイスピッチンいや
Q.2点についてどう思う？ A.,Q.2点についてどう思う？ A.慣れてくればこれ絶対いけるてかもう2点取ってる感覚
Q.1についてどう思う？ A.,Q.1についてどう思う？ A.あ、1人だけ残ってたのかな?
Q.リンスカム過去についてどう思う？ A.,Q.リンスカム過去についてどう思う？ A.リンスカム過去のモノマネする人がリンスカム のモノマネをしてたかっこいいんだよ
Q.もんについてどう思う？ A.,Q.もんについてどう思う？ A.お前が落ちたもんなのかな。
Q.48についてどう思う？ A.,Q.48についてどう思う？ A.2002年に28歳で逃免してるから48?
Q.会話ほんとについてどう思う？ A.,Q.会話ほんとについてどう思う？ A.今日もうだるいじゃん上目だけの会話ほんとだるくない
Q.チェンジアップについてどう思う？ A.,Q.チェンジアップについてどう思う？ A.応援が超かっけえマジで振ったけブンブンなんか今日落ち着いてるな村上見るからにかかってたのにあのチェンジアップは振る玉じゃねえな
Q.一色についてどう思う？ A.,Q.一色についてどう思う？ A.これG一色なんでこれ覚えておいてください
Q.分かちについてどう思う？ A.,Q.分かちについてどう思う？ A.もうかにさんをぐらい分かちなんじゃねーもうしょうがないん 2翌ぐらいから15000万ぐらいだ
Q.デコピンについてどう思う？ A.,Q.デコピンについてどう思う？ A.1ラウンド目ガンガン言ってよくねえ俺殺したほっか1ラウンドでボクも言っちゃうわだめ何かしたかあの連中なかなか強かったなデコピンで殺した頑張ってくれダークフィストってことよ
Q.チャラけたリプレイについてどう思う？ A.,Q.チャラけたリプレイについてどう思う？ A.レートツイートにチャラけたリプレイしてたなんかいや別にいいんだけどさほんとにいいんだけどさ
Q.2次元についてどう思う？ A.,Q.2次元についてどう思う？ A.2次元の虹の方だなでガチャガチャ言ってきたらふざけんなてめえこのやろ、調子乗るんじゃねえぞってキレるから2次元の虹だっつってんだろ虹ライブそれかホロサンジホロサンジは?
Q.坂本についてどう思う？ A.,Q.坂本についてどう思う？ A.あのでおばちゃんのことさ呼び捨てずにやめてくんね俺ですが坂本ちゃんと呼んでるのにさ
Q.世界についてどう思う？ A.,Q.世界についてどう思う？ A.多分世界で俺だけなんだと思う
Q.髪についてどう思う？ A.,Q.髪についてどう思う？ A.なんで髪 伸ばすの短髪の方がかっこいいね
Q.高級住宅についてどう思う？ A.,Q.高級住宅についてどう思う？ A.ほんとに超高級住宅街ですっごいほんとに所得がたぶんなんだろう
Q.中川動物についてどう思う？ A.,Q.中川動物についてどう思う？ A.中川動物好き語ったって飼い猫太らせて殺したから嫌いお前正直なこと
Q.チームデスマッチについてどう思う？ A.,Q.チームデスマッチについてどう思う？ A.アイアン隊でいい勝負してるからなんてたって ブロンズ1人混じるとこうなっちゃうからただコメント頑張ってんじゃんチームデスマッチって途中で抜けてもいいのこれダメなんだじゃあデスマッチにしようか対戦を確認
Q.老い子についてどう思う？ A.,Q.老い子についてどう思う？ A.本当にねうちの老い子もやってるぞマイクラ 俺やるのは好きだけど動画見るの別に好きじゃねえんだよな
Q.偽装結婚についてどう思う？ A.,Q.偽装結婚についてどう思う？ A.何にも問題ないぐらい偽装結婚なんて別に俺的には白もっと全然グレーだよ全然グレー法整備されてないから勝手に来ても大丈夫だよみたいないやこれは遊びゲームしに来てるだけですよ
Q.今についてどう思う？ A.,Q.今についてどう思う？ A.今のはマジで終わってるアイバス1回で出したらもらったドイツよりね
Q.安定感についてどう思う？ A.,Q.安定感についてどう思う？ A.これですげーいいバッターだ安定感が本当すごいわそうなんだよね
Q.ワールドカップについてどう思う？ A.,Q.ワールドカップについてどう思う？ A.お前そんなのワールドカップでやったら刺されるぞ!
Q.10分についてどう思う？ A.,Q.10分についてどう思う？ A.これだけでいいなんで選ばなきゃいけないんだ10分殺してました
Q.あと二銃についてどう思う？ A.,Q.あと二銃についてどう思う？ A.もう遅いぞなんほんいついっつドライチガン惜しい理由は上がりたいからあと二銃は俺押すからなにそれなにその今のエフェクトやばくない
Q.頃についてどう思う？ A.,Q.頃についてどう思う？ A.その話聞きていいじゃん若い頃すごかっただろうなで、若者ってさ、親父とかのさ、若い頃すごかったんだよって
Q.オイドーピングについてどう思う？ A.,Q.オイドーピングについてどう思う？ A.お腹の減りも尋常じゃねーぐらいもうこれ最悪だよ何これしかも並行してこのパワーは6は切りたくないドーピングやっぱダメだ体にかかる負担が尋常じゃねーオイドーピングしていかな全然当たんねー
Q.公式ゼルト発表についてどう思う？ A.,Q.公式ゼルト発表についてどう思う？ A.俺は初心者か全部なんかねえダノンザキッドずーっとこの馬ってさいやダノンザキッドいいぞダノンザキッドいいぞって言われ続けてたじゃん何を言ってんだよ公式ゼルト発表ありましたすでにブレーアイ2は完成しています
Q.炎上についてどう思う？ A.,Q.炎上についてどう思う？ A.なつめちゃんかなんで炎上したんだっけ
Q.村上兄弟についてどう思う？ A.,Q.村上兄弟についてどう思う？ A.お父さんが守ってあげるさぁ村上兄弟撃つよ
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.これねなんかよく分かんねえことすんじゃねえや難しいこと4チームデスマッチってのがある本当は何これ新しいキャラとか出たらしいけど見てもねえし
Q.鎌田についてどう思う？ A.,Q.鎌田についてどう思う？ A.うちのスタッフが言うななんて情けないことでしょうって鎌田の選手
Q.だめバーカについてどう思う？ A.,Q.だめバーカについてどう思う？ A.そこでバカ当たりヒジで行けヒジからで負けてるんだからカメラ見やすいけどこれだめバーカじゃあね
Q.別件についてどう思う？ A.,Q.別件についてどう思う？ A.それはが別件で疲れたあめめ食べちゃダメねえそれ分の めめそれ分ちゃうのだってダメダメダメ 何分もないよ全部食べるべきよ
Q.アメリカボコについてどう思う？ A.,Q.アメリカボコについてどう思う？ A.基本的にさ決勝戦でアメリカボコすんだから勝ってもらわないと困るよ
Q.足についてどう思う？ A.,Q.足についてどう思う？ A.寝っ転がって足をぶんっこれおねだりのポーズかわいいからあげよっかなーさあ行け
Q.状況についてどう思う？ A.,Q.状況についてどう思う？ A.次につなげるためには勝ち点が欲しい状況ですね
Q.ミッドベントについてどう思う？ A.,Q.ミッドベントについてどう思う？ A.これベントか攻めなくていいよベントじゃなくてなんて言うのミッドベントかナイスー
Q.結婚についてどう思う？ A.,Q.結婚についてどう思う？ A.そんなの出来子しなきゃいいじゃんじゃあでもだからその出来ちゃった結婚がいいよって言ってんの別れるぜ子供いないと普通に別れるよ
Q.男相手についてどう思う？ A.,Q.男相手についてどう思う？ A.男相手だとカラーやパーマスレス少ないから単価低いな俺男相手やりたいなできればカット6000までいくと高すぎる相場が原宿とかで6000円ぐらいらしいよ
Q.母親についてどう思う？ A.,Q.母親についてどう思う？ A.さすがにそこはなんか母親がちゃんと教育してるんじゃない健全な健全な動画を心がけております
Q.リンスカムについてどう思う？ A.,Q.リンスカムについてどう思う？ A.長髪でしょ いいじゃんリンスカムみてえいいじゃん いいんだよ
Q.60秒についてどう思う？ A.,Q.60秒についてどう思う？ A.流せない流せない60秒の広告っていうやつが押せなくなってるこの画面で見せていいのかな絶対ダメだよね
Q.辺についてどう思う？ A.,Q.辺についてどう思う？ A.ちょっとごめんその辺のなんかルールが分かんねえルールが分かんないんですよね
Q.高橋20についてどう思う？ A.,Q.高橋20についてどう思う？ A.そっち行っちゃだめそっち行かないで弱さも見たいねでかうだがわあ出た高橋20歳よまだ層の厚さやばすぎうち
Q.11時についてどう思う？ A.,Q.11時についてどう思う？ A.嫁とか彼女はまた別じゃんでもそういう時って着飾ったら絶対あれ だぜうまくいかないぜマジでこれから飲み行く 11時ぐらいに行くから10時半ぐらいにやめようかな
Q.高校野球についてどう思う？ A.,Q.高校野球についてどう思う？ A.高校野球もここ5年で76%が坊主だったのか20%
Q.左サイドについてどう思う？ A.,Q.左サイドについてどう思う？ A.全カルーじゃ味方全然来ねえしなんでこいつら来ねえの下手なんだからさ右サイドぶっこ抜きでしか点取れねえよもう左サイドぶっこ抜きできねえから右サイドの糸をぶっこ抜きで点取るしかねええ
Q.存在についてどう思う？ A.,Q.存在についてどう思う？ A.ただ今日もキレッキレ146キロのフォーク打てるバッターはこの世に存在しません
Q.近々についてどう思う？ A.,Q.近々についてどう思う？ A.ちんぽだけでかいじゃん近々決まってるものでエーペックスの大会出る予定ありますがエーペックスって大会
Q.5000万円についてどう思う？ A.,Q.5000万円についてどう思う？ A.うーん医学部だったら生活費諸々合わせて5000万円
Q.参加についてどう思う？ A.,Q.参加についてどう思う？ A.あんたって全然あるよでも分かんないようにしてるからねちゃんと参加者はほんとそれに惑わされなほうがいいよ
Q.パンについてどう思う？ A.,Q.パンについてどう思う？ A.だから俺Gパン履いてないんだよ
Q.何日についてどう思う？ A.,Q.何日についてどう思う？ A.なんであんなうめえんだろうな大崎くんうめえなちょっと卵吸ってくるわ何日から学校?
Q.今上についてどう思う？ A.,Q.今上についてどう思う？ A.あー今上の金髪出したかったなーキャンベルマジやばい
Q.120についてどう思う？ A.,Q.120についてどう思う？ A.本当にリアルなところを月120万マジでリアルなところねうちの内情的に頑張って120
Q.別についてどう思う？ A.,Q.別についてどう思う？ A.それで別にそういう仕事につかせたいとか全然ないもん
Q.自についてどう思う？ A.,Q.自についてどう思う？ A.自敗一枚でも引いたらもういいマンズはーおらぁマンズが伸びるよいねえじゃねえかいやこれねいい
Q.00についてどう思う？ A.,Q.00についてどう思う？ A.そういえば当ててたなと思ったあーってこれ00だったら俺もう歓喜だったけどね
Q.話についてどう思う？ A.,Q.話についてどう思う？ A.もう怪物 はでも良かったって話でも9億9999万9999回してるからよかったね
Q.犯罪についてどう思う？ A.,Q.犯罪についてどう思う？ A.この5つしか覚えてないから俺それだけでなんとか あはんああいうクリミナルお前は犯罪者ですか わかんないじゃん犯罪者かどうかわかんないじゃん
Q.雲についてどう思う？ A.,Q.雲についてどう思う？ A.みんなスピードデバフのスキルは雲の道にある?
Q.指名欄についてどう思う？ A.,Q.指名欄についてどう思う？ A.かけろカイランバで指名欄に反抗押すだけだよ
Q.今こなについてどう思う？ A.,Q.今こなについてどう思う？ A.今こなそう聞こえてないフリするからな充電中寝なきゃだめだもう頭が働いてないあと一本仕事を出ましたから寝るわ
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.買ってたら本当にイケたのにな
Q.ビデオビデオプロデューサーについてどう思う？ A.,Q.ビデオビデオプロデューサーについてどう思う？ A.ビデオビデオプロデューサー変わったうわーなんか変わってるFF16やる男かFF16やる男
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.死ぬようなことは絶対しないぞっていう。
Q.2度経験についてどう思う？ A.,Q.2度経験についてどう思う？ A.2度経験してるから短期間にやめたの俺は考えることすまんよ
Q.名前クソについてどう思う？ A.,Q.名前クソについてどう思う？ A.すごい好きで見てるからコアラコアラ氏名前クソよくない?
Q.専門についてどう思う？ A.,Q.専門についてどう思う？ A.専門店に行った あなんかそれじゃあ医療品だ多分スポーツ用品店だ
Q.こと予想についてどう思う？ A.,Q.こと予想についてどう思う？ A.元でもすごい猫この回からな系統で早ければ早いほど早いこと予想だもんね
Q.みんな鍵についてどう思う？ A.,Q.みんな鍵についてどう思う？ A.ペットが外に出ないようにだからみんな鍵閉まってるんですか?
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.どうせなんか金なくなってスタンプ減るだけだからスキル取ってある程度固めてからのほうがいいよ
Q.100についてどう思う？ A.,Q.100についてどう思う？ A.俺トップ目だったのになんで100枚もうこういうのがほんとにダメ
Q.75についてどう思う？ A.,Q.75についてどう思う？ A.多分75%くらいかなだと思う55なのかな?
Q.照明についてどう思う？ A.,Q.照明についてどう思う？ A.飲んでない照明ができなくない1819ぐらいだよね
Q.今途中についてどう思う？ A.,Q.今途中についてどう思う？ A.これ 途中までストレートだと思った今途中までマジでストレートだと思った今 やばすぎだろ
Q.3万についてどう思う？ A.,Q.3万についてどう思う？ A.俺カワイーソーそうなってくるとよくわかんないそしたらもうさ3万とか引いてくんだよね
Q.定めについてどう思う？ A.,Q.定めについてどう思う？ A.俺たちの俺たち言われる定めにあるんだ誰
Q.野郎についてどう思う？ A.,Q.野郎についてどう思う？ A.それが俺の配信かぶせばぶっ飛ばすけどこの野郎つって 俺が走してない時に夜はしできないでしょ
Q.顔出しについてどう思う？ A.,Q.顔出しについてどう思う？ A.俺顔出ししてからバーってなんでだろうななんかやっぱ表情とかがあったほうがいいんじゃない?
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.そっちのほうがいいと思うぞ人気な配信者でモテてないやつっていないんじゃないか?
Q.命中率についてどう思う？ A.,Q.命中率についてどう思う？ A.バイトはいるんだ早くさああれ欲しくねえ命中率上がるやつ
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.配信も見たことないからさあんまりいやだってさカトマスとなんだっけ
Q.感じについてどう思う？ A.,Q.感じについてどう思う？ A.あの、やっぱりで、やっぱりみどりさんも今話した感じ
Q.今井辰哉今井についてどう思う？ A.,Q.今井辰哉今井についてどう思う？ A.めちゃくちゃいいじゃん最高じゃない 通気性も良さそう今井辰哉 今井の髪は別にあれだよ
Q.一週間についてどう思う？ A.,Q.一週間についてどう思う？ A.なんでこんなしてないの電話するわ一週間に一回しかしてないじゃん
Q.リバティ川田についてどう思う？ A.,Q.リバティ川田についてどう思う？ A.リバティ川田か川田さんだ 川田さん川田さん
Q.空空空についてどう思う？ A.,Q.空空空についてどう思う？ A.今は空空おいで空 空空 聞こえてねえフリして空よしよし空おいで遅いね
Q.イメージについてどう思う？ A.,Q.イメージについてどう思う？ A.もうちょっとイメージがあったんだよね
